Id,fwd,lag_d,noc,gy,ay,noi,UMC,firm,MSA,tbm,tbru,PAG,npr,fpr,FT,FS
6347,40,967,6,1985,1982,15,710,706518,168,6,0.50002,3947221.333,2,0,2,854
6348,56,1281,9,2000,1997,3,380,0,209,36,0.89357,5230307.556,0,2,1,
6349,4,1198,14,2000,1997,4,324,295920,302,10,0.58,5021141.9,0,0,2,
6350,3,914,21,1999,1997,1,711,686124,261,3,0.66667,5422288.333,0,0,2,2
6351,115,1341,27,2000,1996,3,709,373780,268,12,0.83336,5599005.917,0,0,2,17
6352,2,1155,14,2001,1997,1,382,377950,553,10,0.58,4769847.6,1,1,3,
6353,5,928,9,1981,1979,1,434,515685,26,9,0.76545,3113128.556,1,0,2,
6354,44,816,30,1989,1986,1,712,279275,261,3,0.66667,4654569.667,0,0,2,5
6355,5,1147,64,2000,1996,3,380,373780,268,3,0.66667,5128430,1,0,2,17
6356,6,714,16,1980,1979,2,712,256580,233,4,0.625,3989632.25,0,0,2,86
6357,7,1189,5,1992,1989,2,714,597550,186,10,0.68,4456048.7,2,4,2,186
6358,4,981,12,2000,1997,3,705,442205,168,12,0.41668,5005778.833,0,0,2,28
6359,2,915,10,2000,1997,2,701,478430,526,9,0.51854,5245285,0,0,3,
6360,0,718,20,1998,1996,2,379,395480,47,9,0.5926,5152681.444,0,0,2,41
6361,8,630,5,1999,1997,2,375,715876,40,43,0.7507,4999260.791,1,7,2,
6362,52,908,20,1996,1993,1,379,706518,168,15,0.12445,5104275.067,0,0,2,312
6363,22,624,4,1988,1987,1,710,278220,233,3,0.44445,4405120.333,0,0,2,18
6364,7,1383,20,2000,1996,3,705,0,156,14,0.62246,4683730,0,2,1,
6365,10,1162,50,1992,1989,1,324,682225,86,15,0.24001,3855877.933,4,0,2,
6366,4,1078,19,1998,1995,5,358,654319,553,16,0.5547,4852477.5,0,6,3,67
6367,31,1219,8,1996,1993,3,709,0,243,5,0.56,5226290,0,0,1,
6368,42,916,12,1995,1992,1,380,591676,302,22,0.67358,4756045.682,0,0,2,
6369,64,356,10,1991,1990,2,178,599415,515,4,0.625,4607670.5,1,0,3,
6370,30,428,3,1985,1984,2,382,176900,69,8,0.40626,4305659.625,3,0,2,
6371,16,1173,11,1986,1983,1,708,394010,261,4,0.375,3802006.75,1,0,2,35
6372,36,1735,16,1999,1994,2,455,234445,13,6,0,4994751.333,0,0,2,117
6373,10,1208,32,2000,1997,1,380,773326,515,11,0.31406,5031493.727,9,0,3,
6374,100,1406,17,2000,1996,5,455,405790,536,10,0.74,5562746.7,0,4,3,33
6375,63,918,5,1998,1996,3,706,713600,32,40,0.8338,4837907.125,27,0,2,
6376,20,662,16,1999,1997,4,709,280070,16,10,0.78,5566377.3,0,0,2,240
6377,3,742,21,1999,1997,7,382,654319,553,3,0,5201221.333,0,0,3,75
6378,7,544,3,1995,1993,1,318,788148,51,16,0.41408,4809602.438,2,0,2,78
6379,3,1082,12,1998,1995,1,463,729328,261,6,0.66669,4895793.833,0,0,2,
6380,36,1387,3,1989,1985,1,711,379070,515,19,0.63158,4305588.737,1,2,3,
